,BAC,C,JPM,WFC,UBSG.VX,RY,AXP,USB,DBK,TD,BNS,BK,FNMAN,CM,STT,FMCC,PNC,COF,STI,BBT,RF,NTRS,SLM,AMP,GS,MS,BEN,SCHW,CME,BLK,NYX,TROW,AMTD,LM,AB,NDAQ,IVZ,SEIC,ETFC,ETW,JNS,FII,RJF,AMG,MORN,LAZ,WDR,AIG,UNH,MFC,MET,PRU,TRV,ALL,AFL,SLF,AET,HIG ,CB,MMC,PGR,LNC,PFG,AON,CI,GNW,HUM,XL,CNA,UNM,CVH
2006/12/1 00:00,-0.008578923,0.116190964,0.042721659,0.009039581,0.027380218,0.020352685,0.032668908,0.073067005,0.04442462,0.021270181,-0.015064552,0.102345279,-0.051069355,0.067477148,0.081365807,0.010958172,0.046301353,-0.013704119,0.033717764,0.021164858,0.020257275,0.063429674,0.061958506,0.007366553,0.023088697,0.066907312,0.031628555,0.053091023,-0.04946726,0.057793704,-0.029398975,0.010103369,-0.08184762,-0.003256113,0.049854214,-0.265432496,0.130695707,0.023270723,-0.071012834,0.018376429,0.063581746,0.017921597,-0.038827298,0.029146978,0.005564845,0.041403111,0.093010232,0.018876416,0.090519844,0.020027631,0.004756218,0.052360446,0.035643546,0.025353267,0.041275018,-0.010102306,0.044272799,0.084374541,0.063559418,-0.024485759,0.071443675,0.043240861,0.016316394,-0.009574841,0.042860384,0.042089485,0.022119593,0.012575183,0.046189382,0.014542234,0.039116822
2007/1/1 00:00,-0.015287586,-0.010286132,0.053020601,0.010072749,0.04940089,-0.029172791,-0.041220353,-0.016437228,0.062958474,-0.009903564,-0.036830692,0.016125343,0.040374066,0.016006002,0.052145553,-0.044726297,-0.003653397,0.045549178,-0.01611493,-0.038756493,-0.030955608,0.000988159,-0.059343951,0.078658529,0.062278622,0.016563538,0.078022897,-0.021955926,0.099891998,0.099311987,0.028199455,0.091835606,0.089223653,0.098127638,0.113794925,0.09917053,-0.011423992,0.044656106,0.083809747,-0.00147742,-0.052781444,0.044297356,0.051755115,0.057929694,0.016511107,0.069752999,-0.063759134,-0.045829132,-0.027740283,-0.002370431,0.051361095,0.03737787,-0.054346663,-0.079070483,0.034401448,0.013136525,-0.023905521,0.017001854,-0.047157043,-0.03856861,-0.043457502,0.01108289,0.048384467,0.014607029,0.006288652,0.019968917,0.003429279,-0.042837312,0.008151261,0.05705142,0.029529705
2007/2/1 00:00,-0.033849087,-0.090298233,-0.030704187,-0.034554472,-0.074009104,0.003235921,-0.023461012,0.001684031,-0.089052901,0.007897227,0.006463527,0.015377237,0.018114465,0.003612812,-0.081181063,-0.01239754,-0.006527917,-0.042819258,0.01445578,0.004485971,-0.012208754,-0.007434995,-0.074744335,-0.008687526,-0.050311419,-0.099886442,-0.015397926,-0.023530497,-0.043818536,-0.052059062,-0.163496073,-0.030042433,-0.100410842,-0.020329233,-0.048790085,-0.127499203,-0.020730426,-0.029823737,-0.054363542,-0.007420365,0.035966476,0.012943315,-0.058707601,0.018587364,0.112041229,0.013113056,-0.052380511,-0.019770517,-0.001531942,-0.004161689,0.016603207,0.020104026,-0.001968465,-0.000831446,-0.007801811,0.009278679,0.047705294,-0.003694584,-0.028794125,-0.002715548,-0.010839039,0.016104418,-0.012083785,0.048444792,0.073514318,0.012245631,0.076460415,0.028714236,0.010035551,-0.027184351,0.053260321
2007/3/1 00:00,0.003730942,0.019074434,-0.020661428,-0.007811438,-0.000692281,0.072075241,-0.00829875,-0.019539033,0.015519335,0.010985463,0.059188916,-0.001970954,0.027085072,0.009148359,-0.011669133,-0.075103962,-0.018174808,-0.020592242,-0.015178027,-0.034267184,-0.012642422,-0.002656926,-0.041897384,-0.022667326,0.023900471,0.049984428,0.029735106,-0.010334549,-0.012486095,-0.018634092,0.099157572,0.01344016,-0.072570693,-0.086675183,0.030983511,-0.017526569,-0.077044874,-0.003646027,-0.08445549,-0.019554346,-0.015187762,0.02621204,-0.011359962,-0.046348,0.007971249,-0.024605119,-0.043631122,0.001637803,0.015026455,0.025876215,-0.000158309,-0.007505554,0.019899213,-0.000832154,-0.003817629,0.047128571,-0.009771694,0.010729082,0.01625481,-0.00442852,-0.050055175,-0.006469689,-0.016564898,0.008465659,0.001122177,-0.011100242,-0.032055657,-0.014897105,0.048256516,0.072939655,0.041608884
2007/4/1 00:00,-0.00235475,0.043451936,0.074078385,0.0415304,0.09190474,0.042375876,0.072980115,-0.017888619,0.119361415,0.011684474,0.043914129,-0.001727756,-0.015745156,0.01918086,0.061687013,0.085188633,0.029166126,-0.016030226,0.016481885,0.014521044,-0.007947785,0.045665615,0.274701071,0.039967621,0.056359546,0.064530584,0.083176299,0.044380443,-0.029948564,-0.043207931,-0.105893991,0.051420453,0.136132116,0.0515109,0.027417286,0.101749819,0.070319249,0.013194963,0.039728134,0.011578282,0.179447992,0.038466254,0.030445767,0.08217737,0.008292421,0.076141469,0.037867335,0.039237834,0.001697633,0.047060836,0.039585999,0.051182475,0.044023318,0.036938322,0.087046771,0.042054628,0.068185663,0.057135113,0.041200437,0.080961441,0.055706092,0.048375646,0.058706916,0.020597808,0.086760191,0.043406029,0.086149265,0.108528786,0.079810565,0.07726647,0.020086257
2007/5/1 00:00,-0.003739853,0.016095084,-0.00519574,0.005557141,0.009431066,0.047087362,0.068630267,0.006673578,-0.001942661,0.122426154,0.044848726,0.001974359,-0.021742239,0.082865814,-0.008750326,0.030556485,-0.004056733,0.071700358,0.056085194,0.011704469,0.016393754,0.033276537,0.043263816,0.055278903,0.054348891,0.012185883,0.042420008,0.161446082,0.02720281,0.025327802,-0.014933675,0.03306246,0.185737135,0.01838027,0.004935087,0.021872014,0.014238097,0.010756297,0.081296057,0.000500375,0.101034626,0.020234128,0.082246706,0.101527627,-0.085354124,-0.00499864,0.068607521,0.034168596,0.031719231,0.034030777,0.034408825,0.071291951,0.001293064,-0.013245227,0.029176753,-0.002325744,0.121379119,0.019279367,0.034870938,0.033135156,-0.000867346,0.018796209,-0.043292672,0.102207115,0.074534808,-0.010745495,-0.018996548,0.044886499,0.085188461,0.064588839,0.031321709
2007/6/1 00:00,-0.036550254,-0.060521394,-0.067436812,-0.025822429,-0.082130827,-0.027872484,-0.060259238,-0.048284247,-0.050925222,-0.008577562,-0.031447804,0.021464263,-0.048982288,-0.06949855,0.001902466,-0.095609669,-0.030543039,-0.016938807,-0.040570073,-0.034548695,-0.074776721,-0.012991275,0.024080885,0.011390758,-0.062893601,-0.013734576,-0.033624773,-0.090781021,0.006307791,0.019669825,-0.120887271,0.010461177,-0.026155006,-0.026579992,-0.048412905,-0.11347293,0.072175646,-0.753447603,-0.080843306,-0.029443751,0.005763705,-0.015789043,-0.075101498,-0.011121539,-0.016449169,-0.179430458,0.002694862,-0.03245356,-0.068575648,-0.001071264,-0.05315256,-0.048089506,-0.012445559,0.000162556,-0.028008717,0.010738033,-0.069019821,-0.046220008,0.015311767,-0.0612341,0.037467176,-0.021611201,-0.042159203,-0.00724888,-1.166293593,-0.048236187,-0.018543131,0.032924325,-0.063568267,-0.016334646,-0.034439135
2007/7/1 00:00,-0.030528818,-0.09653926,-0.096115524,-0.040620555,-0.085776961,-0.039002138,-0.04411004,-0.095461933,-0.05552458,-0.065931345,-0.048462591,0.026433209,-0.033499703,-0.0294406,-0.020232588,-0.058166788,-0.071360657,-0.103040129,-0.090771797,-0.083531304,-0.096005225,-0.028099703,-0.157891669,-0.053307193,-0.140495797,-0.272537418,-0.039259985,-0.01918883,0.033383649,0.018413023,0.0451484,0.004614544,-0.165464381,-0.089027831,-0.037078081,0.035056534,-0.025863471,-0.063253798,-0.176273788,-0.037799722,0.076721516,-0.062436309,-0.007471206,-0.130562349,0.040626377,-0.195600544,-0.031240378,-0.087232086,-0.054447494,-0.021121798,-0.068350605,-0.09260897,-0.052179097,-0.146081588,0.013910522,-0.002306343,-0.027292183,-0.069783519,-0.079882754,-0.114106193,-0.131563299,-0.162311638,-0.033138749,-0.062210012,-0.011169036,-0.119674416,0.050890918,-0.079350891,-0.138546472,-0.071842112,-0.032437182
2007/8/1 00:00,0.066487317,0.006634524,0.011521691,0.078834744,-0.069733338,0.008389474,0.00136562,0.077084601,-0.108466162,0.063885159,0.061281914,-0.051107748,-0.002320256,0.041860309,-0.088382092,0.073047285,0.054312002,-0.090151063,0.005730636,0.059901302,0.040090069,-0.016139795,0.022323557,0.012203285,-0.067708036,-0.023765377,0.033961758,-0.016529303,0.004154246,-0.027973813,-0.057036222,-0.015660078,0.068402668,-0.03597266,-0.01573319,0.059610898,-0.020048786,-0.071853013,-0.172863125,-0.016181691,-0.122660146,-0.025310603,0.066838643,0.002209946,0.275563155,0.079398559,-0.014785444,0.027963121,0.032103489,0.061300447,0.061659536,0.012891855,-0.004737435,0.029659226,0.022575217,0.010025147,0.057401086,-0.0327499,0.000692709,-0.033213349,-0.030980212,0.009241006,-0.01608896,0.078735443,0.000774313,-0.05177627,0,-0.021550932,0.010541521,0.006971527,0.027568454
2007/9/1 00:00,-0.008122878,-0.004489521,0.028782151,-0.025500329,-0.006369448,0.075744183,0.012713113,0.005548751,-0.010460289,0.114999384,0.059648928,0.087794295,-0.016393834,0.096871899,0.105099768,-0.043117324,-0.032789895,0.027005928,-0.039896523,0.016475635,-0.059905998,0.07535072,-0.012206072,0.033841499,0.208157718,0.010050352,-0.032941591,0.087011427,0.057013225,0.111588647,0.084568533,0.08172004,0.003849276,-0.029573764,0.064001202,0.142978362,0.100488322,0.072586457,-0.177199971,-0.007641904,0.061619671,0.122865194,0.001828063,0.118597044,-0.049565339,0.056021483,0.08449214,0.024692612,-0.032103489,0.060185434,0.084966609,0.083310353,-0.003965132,0.043601672,0.067628844,0.086162484,0.06391222,0.040124404,0.047503261,-0.044110698,-0.046800993,0.080295378,0.128359418,0.033816929,0.030677856,0.058633439,0.086491159,0.038614838,-0.064983464,0,0.08099424
